units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
256,1,tanh,rmsprop,0.001,0.30000000000000004,0.0,0816,COMPLETED,0.8853704929351807,0.7109004855155945,0.5,0.8947631120681763,0.2669311463832855
176,2,tanh,rmsprop,0.0003,0.1,1e-05,1072,COMPLETED,0.8852522373199463,0.75,0.4699999988079071,0.8972568511962891,0.27282461524009705
96,2,tanh,rmsprop,0.001,0.30000000000000004,0.0001,1049,COMPLETED,0.8851984143257141,0.7397959232330322,0.4833333194255829,0.8972568511962891,0.2853992283344269
240,1,relu,adam,0.0003,0.1,0.001,0797,COMPLETED,0.8851398229598999,0.738095223903656,0.5166666507720947,0.9002493619918823,0.31182533502578735
64,3,tanh,rmsprop,0.0003,0.1,0.0,0509,COMPLETED,0.8851045370101929,0.7247706651687622,0.5266666412353516,0.8992518782615662,0.27130842208862305
176,3,elu,adam,0.0003,0.2,0.0001,0473,COMPLETED,0.8850713968276978,0.7035398483276367,0.5299999713897705,0.8962593674659729,0.3016907870769501
176,2,relu,adam,0.0003,0.4,1e-05,1440,COMPLETED,0.8850528001785278,0.733031690120697,0.5400000214576721,0.901745617389679,0.275389164686203
64,2,relu,adam,0.001,0.4,1e-06,0442,COMPLETED,0.8850009441375732,0.737864077091217,0.5066666603088379,0.8992518782615662,0.2811100482940674
176,3,tanh,adam,0.0003,0.4,0.0001,1186,COMPLETED,0.8849413394927979,0.7186146974563599,0.5533333420753479,0.9007481336593628,0.29275161027908325
80,3,elu,adam,0.0003,0.1,0.0001,1266,COMPLETED,0.8849178552627563,0.737089216709137,0.5233333110809326,0.9007481336593628,0.2926507294178009
256,2,tanh,adam,0.001,0.4,1e-05,0676,COMPLETED,0.884892463684082,0.7008196711540222,0.5699999928474426,0.8992518782615662,0.28365829586982727
16,1,elu,adam,0.003,0.2,0.0,1956,COMPLETED,0.8847761750221252,0.7161571979522705,0.54666668176651,0.8997506499290466,0.27806350588798523
112,1,relu,adam,0.0003,0.0,0.001,0405,COMPLETED,0.8847732543945312,0.7242990732192993,0.5166666507720947,0.8982543349266052,0.30077049136161804
192,1,tanh,rmsprop,0.0003,0.0,0.0001,0589,COMPLETED,0.8847517967224121,0.6929824352264404,0.5266666412353516,0.8942643404006958,0.3027609586715698
192,1,elu,adam,0.0003,0.1,0.0001,1319,COMPLETED,0.8847448825836182,0.7405660152435303,0.5233333110809326,0.9012469053268433,0.2856113910675049
80,3,relu,adam,0.001,0.30000000000000004,1e-05,1752,COMPLETED,0.8847272992134094,0.7162162065505981,0.5299999713897705,0.8982543349266052,0.2775842547416687
224,2,tanh,rmsprop,0.0003,0.4,0.0001,0438,COMPLETED,0.8847106695175171,0.7035176157951355,0.46666666865348816,0.8907730579376221,0.2931465208530426
240,3,tanh,adam,0.0003,0.2,1e-05,1885,COMPLETED,0.8846646547317505,0.7105262875556946,0.5400000214576721,0.8982543349266052,0.28229016065597534
144,3,tanh,adam,0.001,0.4,1e-05,1932,COMPLETED,0.8846412301063538,0.7046413421630859,0.5566666722297668,0.8987531065940857,0.2724625766277313
144,3,tanh,rmsprop,0.001,0.1,1e-05,1274,COMPLETED,0.8846108913421631,0.7456647157669067,0.4300000071525574,0.8927680850028992,0.2762502133846283
224,1,tanh,rmsprop,0.0003,0.4,1e-06,0853,COMPLETED,0.88456791639328,0.6995515823364258,0.5199999809265137,0.8947631120681763,0.2709752321243286
160,1,tanh,rmsprop,0.0003,0.2,1e-06,1655,COMPLETED,0.8845463991165161,0.7027027010917664,0.5199999809265137,0.895261824131012,0.27106615900993347
16,1,relu,adam,0.001,0.30000000000000004,0.001,1084,COMPLETED,0.8845444917678833,0.7317073345184326,0.5,0.8977556228637695,0.28518715500831604
112,1,tanh,rmsprop,0.003,0.30000000000000004,1e-05,1501,COMPLETED,0.884522020816803,0.7373737096786499,0.4866666793823242,0.8972568511962891,0.27873802185058594
208,1,relu,adam,0.0003,0.2,0.0001,1757,COMPLETED,0.884520947933197,0.7428571581840515,0.5199999809265137,0.9012469053268433,0.2871003746986389
256,2,relu,adam,0.0003,0.30000000000000004,0.001,1356,COMPLETED,0.8844838738441467,0.7403846383094788,0.5133333206176758,0.9002493619918823,0.35301801562309265
224,1,relu,adam,0.0003,0.2,1e-05,1473,COMPLETED,0.8844310641288757,0.7268518805503845,0.5233333110809326,0.8992518782615662,0.27695631980895996
128,1,tanh,rmsprop,0.001,0.0,0.0001,1166,COMPLETED,0.8844056725502014,0.7040358781814575,0.5233333110809326,0.8957605957984924,0.31133076548576355
256,1,tanh,rmsprop,0.001,0.1,0.0,0422,COMPLETED,0.8843362927436829,0.7156862616539001,0.4866666793823242,0.8942643404006958,0.27020832896232605
192,2,relu,adam,0.0003,0.4,0.0001,0481,COMPLETED,0.884293258190155,0.7136150002479553,0.5066666603088379,0.8957605957984924,0.30199679732322693
160,1,relu,adam,0.0003,0.1,0.001,0060,COMPLETED,0.8842687606811523,0.734883725643158,0.5266666412353516,0.9007481336593628,0.3009742200374603
48,2,elu,adam,0.001,0.30000000000000004,1e-05,0057,COMPLETED,0.8842629194259644,0.7161571979522705,0.54666668176651,0.8997506499290466,0.2741645872592926
