units,layers,activation,optimizer,lr,dropout,l2_strength,trial_id,status,val_auc,val_precision,val_recall,val_accuracy,val_loss
112,4,relu,adam,0.001,0.4,0.0,162,COMPLETED,0.8818044662475586,0.7054263353347778,0.6066666841506958,0.9032418727874756,0.2804904282093048
32,4,tanh,adam,0.001,0.0,0.0001,182,COMPLETED,0.8817741870880127,0.7246376872062683,0.5,0.8967580795288086,0.2850877642631531
144,3,relu,adam,0.0003,0.0,1e-05,199,COMPLETED,0.8817654252052307,0.6809338331222534,0.5833333134651184,0.8967580795288086,0.2834555208683014
64,1,relu,adam,0.001,0.2,0.0001,120,COMPLETED,0.8817028403282166,0.7224880456924438,0.503333330154419,0.8967580795288086,0.28821897506713867
32,1,relu,adam,0.0003,0.0,0.0001,168,COMPLETED,0.8815708756446838,0.7284482717514038,0.5633333325386047,0.9032418727874756,0.2801697850227356
192,2,relu,adam,0.001,0.4,0.0,079,COMPLETED,0.8815542459487915,0.7397959232330322,0.4833333194255829,0.8972568511962891,0.2783510684967041
192,4,tanh,adam,0.0003,0.1,0.0001,140,COMPLETED,0.8815091848373413,0.7255814075469971,0.5199999809265137,0.8987531065940857,0.3296578824520111
96,1,relu,adam,0.0003,0.2,1e-06,039,COMPLETED,0.88140469789505,0.7297297120094299,0.5400000214576721,0.9012469053268433,0.2796827256679535
112,3,relu,adam,0.0003,0.1,1e-06,148,COMPLETED,0.8813920021057129,0.7155172228813171,0.5533333420753479,0.9002493619918823,0.28293856978416443
192,1,relu,adam,0.0003,0.0,1e-05,198,COMPLETED,0.8813880681991577,0.7117117047309875,0.5266666412353516,0.8972568511962891,0.2776734232902527
48,3,tanh,adam,0.001,0.2,0.0001,188,COMPLETED,0.8813411593437195,0.7111111283302307,0.5333333611488342,0.8977556228637695,0.2806662321090698
144,1,tanh,adam,0.001,0.2,1e-05,119,COMPLETED,0.8812609910964966,0.7175925970077515,0.5166666507720947,0.8972568511962891,0.27702564001083374
192,3,relu,adam,0.0003,0.1,1e-06,090,COMPLETED,0.8812286853790283,0.7058823704719543,0.6000000238418579,0.9027431607246399,0.27515819668769836
128,4,tanh,adam,0.001,0.30000000000000004,1e-06,035,COMPLETED,0.8812228441238403,0.7183098793029785,0.5099999904632568,0.8967580795288086,0.275465726852417
