CentreName,LearnerCode,BookingType,LeadSource,DiscountType,Gender,Age,Nationality,CourseLevel,academic_stage,subject_cluster,delivery_variant,IsFirstIntake,CompletedCourse,dropout,progression_degree_level,ProgressionUniversity
UK_NE_04,4078233712,Agent,Standard Agent Booking,,Male,28,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,5668094493,Agent,Standard Agent Booking,,Male,26,Chinese,Pre-Masters,Pre Masters,Engineering,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,8946834134,Agent,Standard Agent Booking,,Male,31,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,other_masters,UK_NE_05
UK_NE_04,4514096065,Agent,Standard Agent Booking,Scholarships Discount,Female,26,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MA,UK_NE_05
UK_NE_04,1122624025,Direct,Digital (Web),,Female,23,Saudi,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BSc,UK_NE_05
UK_NE_04,2695114256,Agent,Standard Agent Booking,,Male,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,9223527865,Agent,Standard Agent Booking,,Male,21,Nigerian,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BEng,UK_NE_05
UK_NE_04,7869518540,Direct,Digital (Web),,Female,23,Egyptian,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,2415610921,Agent,Standard Agent Booking,,Male,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,4959896762,Agent,Standard Agent Booking,,Male,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,3204387171,Agent,Standard Agent Booking,,Male,23,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,4143260890,Agent,Standard Agent Booking,,Male,25,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,9117500562,Agent,Standard Agent Booking,,Female,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,3505466173,Agent,Standard Agent Booking,Bursary,Female,23,Hong Kong Chinese,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BEng,UK_NE_05
UK_NE_04,2224815227,Agent,Standard Agent Booking,,Male,29,Taiwanese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,2234616293,Agent,Standard Agent Booking,,Female,28,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MA,UK_NE_05
UK_NE_04,4048748530,Agent,Standard Agent Booking,,Male,23,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,2216586963,Agent,Standard Agent Booking,,Male,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,37370304,Direct,Digital (Web),,Male,22,Jordanian,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BEng,UK_NE_05
UK_NE_04,9905222050,Agent,Standard Agent Booking,,Female,28,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,9865512968,Agent,Standard Agent Booking,,Male,26,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,3904139284,Agent,Standard Agent Booking,,Female,28,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,9061678474,Agent,Standard Agent Booking,,Female,22,Americas_Other,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BSc,UK_NE_05
UK_NE_04,8466577163,Agent,Standard Agent Booking,,Male,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,6004870634,Agent,Standard Agent Booking,,Female,36,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,LLM,UK_NE_05
UK_NE_04,9267105712,Agent,Standard Agent Booking,,Female,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,4366280507,Agent,Standard Agent Booking,,Male,28,Chinese,Pre-Masters,Pre Masters,Engineering,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,2976627571,Agent,Standard Agent Booking,,Male,26,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,1360305322,Agent,Standard Agent Booking,,Female,29,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,8868306338,Agent,Standard Agent Booking,,Female,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,6466475295,Direct,Digital (Web),,Female,21,Emirati,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BSc,UK_NE_05
UK_NE_04,1731000554,Agent,Standard Agent Booking,,Female,27,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,7255966366,Direct,Digital (Web),,Male,23,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BA,UK_NE_05
UK_NE_04,1873901094,Agent,Standard Agent Booking,Other Scholarships / Bursaries,Male,22,Hong Kong Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,MPLAN,UK_NE_05
UK_NE_04,6048813166,Agent,Standard Agent Booking,,Male,22,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,BSc,UK_NE_05
UK_NE_04,1425642289,Agent,Standard Agent Booking,,Female,23,Chinese,Foundation,International Foundation Year,Business_Humanities_Combined,standard,False,Yes,0,other_bachelors,UK_NE_05
UK_NE_04,9398266366,Agent,Standard Agent Booking,,Female,26,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MA,UK_NE_05
UK_NE_04,9163722304,Agent,Standard Agent Booking,,Female,32,Chinese,Pre-Masters,Pre Masters,Business_Humanities_Combined,standard,False,Yes,0,MSc,UK_NE_05
UK_NE_04,1216953989,Agent,Sponsor,,Male,23,Emirati,Foundation,International Foundation Year,Engineering,standard,False,Yes,0,BSc,UK_NE_05
